phase_key,seed,dimension,group,n,positives,positive_rate,mean_probability,calibration_bias,macro_f1,log_loss,roc_auc,brier,ece_10,tn,fp,fn,tp,precision,recall,fpr,fnr,error_rate
P6_clean,42,raw_missing__Destination_State,missing,47,10,0.2127659574468085,0.17362199286779462,-0.039143964579013896,0.49189189189189186,0.5152025560435705,0.5972972972972973,0.16729578056748656,0.04304029354648572,29.0,8.0,8.0,2.0,0.2,0.2,0.21621621621621623,0.8,0.3404255319148936
P6_clean,42,raw_missing__Distance,observed,501,90,0.17964071856287425,0.17574452808011684,-0.003896190482757411,0.5116093583835519,0.47133889434478293,0.5576507164098405,0.1479232627605284,0.024324371324051713,326.0,85.0,69.0,21.0,0.19811320754716982,0.23333333333333334,0.20681265206812652,0.7666666666666667,0.3073852295409182
P6_clean,42,raw_missing__Distance,missing,0,0,,,,,,,,,,,,,,,,,
P6_clean,42,raw_missing__Airline,observed,441,78,0.17687074829931973,0.17568057259401498,-0.0011901757053047468,0.5160989190959712,0.4629036049438487,0.5794659885568977,0.14489457148790602,0.01807728393469146,288.0,75.0,59.0,19.0,0.20212765957446807,0.24358974358974358,0.2066115702479339,0.7564102564102564,0.30385487528344673
P6_clean,42,raw_missing__Airline,missing,60,12,0.2,0.1762146009029655,-0.023785399097034504,0.47916666666666663,0.5333382714416495,0.4184027777777778,0.1701841436143028,0.07871873749685462,38.0,10.0,10.0,2.0,0.16666666666666666,0.16666666666666666,0.20833333333333334,0.8333333333333334,0.3333333333333333
P6_clean,42,raw_missing__Carrier_Code(IATA),observed,448,80,0.17857142857142858,0.1744651616006681,-0.004106266970760469,0.5018315018315018,0.47349750367346477,0.5320822010869565,0.14824648989044628,0.03333319649229303,296.0,72.0,64.0,16.0,0.18181818181818182,0.2,0.1956521739130435,0.8,0.30357142857142855
P6_clean,42,raw_missing__Carrier_Code(IATA),missing,53,10,0.18867924528301888,0.18655879567998523,-0.0021204496030336473,0.5631868131868132,0.45309253624573664,0.7116279069767442,0.1451910787189583,0.07623680014522335,30.0,13.0,5.0,5.0,0.2777777777777778,0.5,0.3023255813953488,0.5,0.33962264150943394
P6_clean,42,raw_missing__Carrier_ID(DOT),observed,437,79,0.18077803203661327,0.17552241741553662,-0.005255614621076654,0.5225419034632292,0.4687555461072952,0.5792553567640195,0.1473332580614307,0.01653097873932744,289.0,69.0,60.0,19.0,0.2159090909090909,0.24050632911392406,0.19273743016759776,0.759493670886076,0.2951945080091533
P6_clean,42,raw_missing__Carrier_ID(DOT),missing,64,11,0.171875,0.17726112746170364,0.005386127461703638,0.44270289097875304,0.4889783190288788,0.3962264150943397,0.15195188859655487,0.07753863006662223,37.0,16.0,9.0,2.0,0.1111111111111111,0.18181818181818182,0.3018867924528302,0.8181818181818182,0.390625
P6_clean,42,raw_missing__Tail_Number,observed,501,90,0.17964071856287425,0.17574452808011684,-0.003896190482757411,0.5116093583835519,0.47133889434478293,0.5576507164098405,0.1479232627605284,0.024324371324051713,326.0,85.0,69.0,21.0,0.19811320754716982,0.23333333333333334,0.20681265206812652,0.7666666666666667,0.3073852295409182
P6_clean,42,raw_missing__Tail_Number,missing,0,0,,,,,,,,,,,,,,,,,
P6_clean,42,feature_missing__Airline,observed,501,90,0.17964071856287425,0.17574452808011684,-0.003896190482757411,0.5116093583835519,0.47133889434478293,0.5576507164098405,0.1479232627605284,0.024324371324051713,326.0,85.0,69.0,21.0,0.19811320754716982,0.23333333333333334,0.20681265206812652,0.7666666666666667,0.3073852295409182
P6_clean,42,feature_missing__Airline,missing,0,0,,,,,,,,,,,,,,,,,
P6_clean,42,feature_missing__Dep_Hour,observed,496,89,0.17943548387096775,0.17592519350644506,-0.003510290364522689,0.5130093274423171,0.4697468302993317,0.5640200977279628,0.1474867135480288,0.02323004405427024,323.0,84.0,68.0,21.0,0.2,0.23595505617977527,0.20638820638820637,0.7640449438202247,0.3064516129032258
P6_clean,42,feature_missing__Dep_Hour,missing,5,1,0.2,0.1578225177883554,-0.04217748221164461,0.375,0.6292716476535509,0.25,0.19122894464048548,0.28913722472261927,3.0,1.0,1.0,0.0,0.0,0.0,0.25,1.0,0.4
