bin,lower,upper,n,mean_probability,observed_rate,phase_key,seed,dimension,group
0,0.0,0.1,27,0.06891914224969914,0.1111111111111111,P6_fixed,42,raw_missing__Carrier_Code(IATA),observed
1,0.1,0.2,300,0.154705319262888,0.18333333333333332,P6_fixed,42,raw_missing__Carrier_Code(IATA),observed
2,0.2,0.3,112,0.23179369116938542,0.1875,P6_fixed,42,raw_missing__Carrier_Code(IATA),observed
3,0.3,0.4,8,0.31786089324562183,0.125,P6_fixed,42,raw_missing__Carrier_Code(IATA),observed
4,0.4,0.5,1,0.47699456064154044,0.0,P6_fixed,42,raw_missing__Carrier_Code(IATA),observed
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Carrier_Code(IATA),observed
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Carrier_Code(IATA),observed
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Carrier_Code(IATA),observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Carrier_Code(IATA),observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Carrier_Code(IATA),observed
0,0.0,0.1,1,0.09688061882881598,0.0,P6_fixed,42,raw_missing__Carrier_Code(IATA),missing
1,0.1,0.2,39,0.1587807895520582,0.20512820512820512,P6_fixed,42,raw_missing__Carrier_Code(IATA),missing
2,0.2,0.3,11,0.24418727150090733,0.18181818181818182,P6_fixed,42,raw_missing__Carrier_Code(IATA),missing
3,0.3,0.4,2,0.3232024429054047,0.0,P6_fixed,42,raw_missing__Carrier_Code(IATA),missing
4,0.4,0.5,0,,,P6_fixed,42,raw_missing__Carrier_Code(IATA),missing
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Carrier_Code(IATA),missing
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Carrier_Code(IATA),missing
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Carrier_Code(IATA),missing
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Carrier_Code(IATA),missing
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Carrier_Code(IATA),missing
0,0.0,0.1,27,0.0697791300140474,0.1111111111111111,P6_fixed,42,raw_missing__Carrier_ID(DOT),observed
1,0.1,0.2,297,0.15565599202922265,0.17845117845117844,P6_fixed,42,raw_missing__Carrier_ID(DOT),observed
