phase_key,arm,seed,group,brier,ece_10,log_loss,macro_f1,roc_auc,recall,precision,calibration_bias,calibrator,n
P6_fixed,shared,1,overall,3.5172719348691706e-05,-0.0021848560025984,0.001409448077874298,-0.00039280740935088154,-0.0007834152112503601,-0.0026888888888889073,-0.0002316221519418904,0.0020860274479645,isotonic,255001
P6_fixed,shared,1,both_observed,5.268924598378355e-05,-0.0017420184940966999,0.0016329624343218163,-0.00023800092122805427,-0.0008343487929914906,-0.0025482344375681865,9.650727440357887e-06,0.0020779627725399682,isotonic,202507
P6_fixed,shared,1,departure_missing,2.2508600593579287e-05,-0.0023517112261481994,0.001441493711022146,-0.0007337925524451006,-0.0008563787782521759,-0.0018214936247723523,-0.0010030313495260068,0.002255374925446,isotonic,24810
P6_fixed,shared,1,arrival_missing,-0.00011628385115558526,-0.0033730298897498997,-0.0003683531003539908,-0.000988549819940121,-0.00035008018457938217,-0.004111466423024179,-0.0010430054165023184,0.0022772050893027,isotonic,24653
P6_fixed,shared,1,both_missing,0.00020041071329679472,0.0033015712278135993,0.0006736706141121096,-0.00492761563696853,-0.004611391333161574,-0.007707129094412304,-0.011595501144620213,-0.0003163018433719996,isotonic,3031
P6_fixed,split,1,overall,0.00011791570152200337,-0.0019116401896405004,0.002811260422164452,-0.0005157858576902985,-0.0010952742023980777,0.022022222222222276,-0.00404582645196927,0.0021521462129420687,isotonic,255001
P6_fixed,split,1,both_observed,0.0001262443035737193,-0.0014232235357793002,0.0031626052091394685,-0.0007124784533538708,-0.001228538911092647,0.02102993475399728,-0.004119050749866904,0.0021480783858473787,isotonic,202507
P6_fixed,split,1,departure_missing,5.763375662570791e-05,-0.0011131767784319999,0.001454086548048683,-9.948533112980051e-05,-0.0003380843111215892,0.026183970856101968,-0.004030772537020166,0.0023169321847858,isotonic,24810
P6_fixed,split,1,arrival_missing,8.654557332818391e-05,-0.0047692326742161,0.0015063930149591398,6.850649997680591e-05,-0.0006700467926451514,0.026267702147099115,-0.0035863644215757273,0.0022785249917601997,isotonic,24653
P6_fixed,split,1,both_missing,0.00031005117086099765,0.0063146304847796,0.001059561719001012,0.006997773024470022,-0.0052572315697752,0.019267822736030796,0.0018397233056147988,4.716682192839987e-05,isotonic,3031
P6_clean,shared,1,overall,3.196710997199759e-05,-0.002385842430655,0.002019457498089794,-0.000877852358222686,-0.0007874287900216936,0.013955555555555554,-0.003686047137862747,0.0019932143790047,isotonic,255001
P6_clean,shared,1,both_observed,5.287348314031437e-05,-0.0019233084002103999,0.002424789526749016,-0.0007196055076956753,-0.0008539616432019503,0.01411329842345499,-0.003355363694408142,0.001990998852732073,isotonic,202507
P6_clean,shared,1,departure_missing,-3.704154641398505e-05,-0.0035094520222372994,0.0011707062410027946,-0.000670403367243888,-0.0007018890346583984,0.01479963570127496,-0.003438429686695499,0.0021243860694444,isotonic,24810
P6_clean,shared,1,arrival_missing,-6.273079915439239e-05,-0.0059442036304644,-0.00020344021697210612,-0.002469765907139765,-0.0006282899758291993,0.011420740063956103,-0.006063206429769763,0.0020927844302267,isotonic,24653
P6_clean,shared,1,both_missing,-2.972691594099741e-05,-0.0005613052088036998,-3.397604528082576e-05,0.003983691444229942,0.00127557281887003,0.017341040462427793,-0.005708801482633585,0.00025767807622699987,isotonic,3031
P6_clean,split,1,overall,9.545280776399045e-05,-0.0015232195855197001,0.003007047981426869,-0.0003733021082646948,-0.0009931451649173306,0.04291111111111107,-0.006344822364246938,0.0022032112080988,isotonic,255001
P6_clean,split,1,both_observed,0.00011984329338129984,-0.0008040357930277002,0.003798920857684629,-0.0005462417458619306,-0.0011875824823659453,0.04284394164263111,-0.0064346536258579334,0.0022129987533179444,isotonic,202507
P6_clean,split,1,departure_missing,-2.003767830688341e-06,-0.001901489990765599,-4.436699225668361e-05,0.0013107079337723038,-0.0010913639898793015,0.045992714025500925,-0.003818111057297513,0.0022573125530542,isotonic,24810
P6_clean,split,1,arrival_missing,-1.48882607541867e-05,-0.002684083654464,-0.00012423031540403917,-0.0009653103890520098,0.0005099423808876402,0.04294198264047511,-0.007435937559409134,0.0022918052934518,isotonic,24653
P6_clean,split,1,both_missing,0.00016107205281779002,0.0009026784964744003,0.0005462128763619178,0.002575435113917335,-0.00010239865984307261,0.02119460500963391,-0.01424572837030541,0.00038585364483569983,isotonic,3031
P6_fixed,shared,7,overall,-4.12799850649237e-06,-0.004151177342507299,0.0006225502745615952,-0.0012507695089681858,-0.0004926928919385398,-0.01864444444444452,0.0014997133103203941,0.0020042961264674,isotonic,255001
P6_fixed,shared,7,both_observed,-6.2280613487009084e-06,-0.0038877511925005997,0.0007962646672287077,-0.0013093076311234686,-0.00046210529696733005,-0.01895774411245843,0.001385833580966056,0.0019830111285884,isotonic,202507
P6_fixed,shared,7,departure_missing,-1.3774044856973422e-05,-0.0031462768702997,-0.00018531281992706372,-0.0008392833541278621,-0.00010473276106781615,-0.018442622950819665,0.002032780693308589,0.0021374219537948,isotonic,24810
P6_fixed,shared,7,arrival_missing,-2.6887695723704086e-05,-0.003779999253224,-8.90926230798228e-05,-0.0010618018375282423,-0.0007190024779205606,-0.018501598903608973,0.0018175926851365376,0.0021799463731373,isotonic,24653
P6_fixed,shared,7,both_missing,0.00040025690793982216,0.00045158589691480025,0.0014172831066174285,0.0009744711480618173,-0.007764272915823045,0.0,0.005366006349774216,0.0009080255089638995,isotonic,3031
P6_fixed,split,7,overall,2.5284553900495332e-05,-0.0032569269796752995,0.0015324683035785602,0.000354496393615622,-0.000570420299585761,0.011911111111111095,-0.0015821174810286553,0.0022653746289742,isotonic,255001
P6_fixed,split,7,both_observed,3.150589523651104e-05,-0.0031626930979981,0.0019310623407631788,0.0002107756791729365,-0.0005895895788200489,0.011789084595782817,-0.0017767341131214032,0.0022406850719893998,isotonic,202507
P6_fixed,split,7,departure_missing,-2.8238862424978528e-05,-0.0034190799707990997,-0.00020810514751617992,0.0008009042571186509,0.0005686982235219018,0.012978142076502663,-0.0008483402917925931,0.0023449002435477003,isotonic,24810
P6_fixed,split,7,arrival_missing,-6.445164753843269e-07,-0.0016356335870122002,5.885079453227249e-05,0.00070796934785744,-0.0012833644739784766,0.012334399269072593,-0.0009970347642432875,0.0023990391638009233,isotonic,24653
